SKU BASE,Suma de Cantidad,Año,Mes
ZZZ1080EMMACAMEL,3,2023,enero
ZZZ30039OBALBLACK,14,2023,enero
ZZZ30044CAMELCOFFE,1,2023,enero
ZZZ30079CINDIBROWN,4,2023,enero
ZZZ30096NEVADABLACK,6,2023,enero
ZZZ30136LOWRIDEBLACK,1,2023,enero
ZZZ30201ZAMBLACK,6,2023,enero
ZZZ30217MURANOBLACK,1,2023,enero
ZZZ30218SENZILLBLACK,2,2023,enero
ZZZ30219ARABICBLACK,15,2023,enero
ZZZ3022NAHUELBLACK,1,2023,enero
ZZZ30236LORETOBEIGE,1,2023,enero
ZZZ30238ANFORABLACK,10,2023,enero
ZZZ30266TATANBLACK,2,2023,enero
ZZZ30268TATANGREYBLACK,5,2023,enero
ZZZ30271MARIOGREY,2,2023,enero
ZZZ30283ROKEBLACK,3,2023,enero
ZZZ30284ROKERED,17,2023,enero
ZZZ30285HIGHROKEBLACK,21,2023,enero
ZZZ30286HIGHROKERED,7,2023,enero
ZZZ30295ESPIGABROWN,2,2023,enero
ZZZ30310TONYCAMEL,2,2023,enero
ZZZ30312FRAGATAKHAKI,3,2023,enero
ZZZ30313FRAGATABLACK,1,2023,enero
ZZZ30314FRAGATABROWN,1,2023,enero
ZZZ30316RAZOBLACK,3,2023,enero
ZZZ30317RAZORED,6,2023,enero
ZZZ30318RAZOBEIGE,7,2023,enero
ZZZ30319GURAMIBLACK,9,2023,enero
ZZZ30320GURAMIGREY,106,2023,enero
ZZZ30321GURAMIWHITE,47,2023,enero
ZZZ30322ARLEQUINBLACK,29,2023,enero
ZZZ30323ARLEQUINRED,20,2023,enero
ZZZ30324ARLEQUINCAMEL,35,2023,enero
ZZZ30325CARDENALBLACK,101,2023,enero
ZZZ30326CARDENALRED,37,2023,enero
ZZZ30327CARDENALCAMEL,34,2023,enero
ZZZ30338COLOMBAWHITE,42,2023,enero
ZZZ30339COLOMBABLACK,13,2023,enero
ZZZ30340MALEGREY,3,2023,enero
ZZZ30341MALEYELLOW,6,2023,enero
ZZZ30342ENDLERBLACK,3,2023,enero
ZZZ30350JADEBLACK,3,2023,enero
ZZZ30379GALEONBLACK,18,2023,enero
ZZZ30388JACBLACK,1,2023,enero
ZZZ30390BECKERBLACK,1,2023,enero
ZZZ30392GERONIMABROWN,6,2023,enero
ZZZ30393GERONIMABLACK,1,2023,enero
ZZZ30394GERONIMACAMEL,6,2023,enero
ZZZ30395HYPECAMEL,9,2023,enero
ZZZ30396HYPEBLUE,2,2023,enero
ZZZ30397HYPEBLACK,16,2023,enero
ZZZ30398HYPEKHAKI,21,2023,enero
ZZZ30399WESTBROWN,1,2023,enero
ZZZ30411RAZOPRINTBLACK,19,2023,enero
ZZZ30412RAZOPRINTRED,18,2023,enero
ZZZ30413RAZOPRINTSILVER,15,2023,enero
ZZZ30414REVERSEWHITE,1,2023,enero
ZZZ30415COLOMBAWINERED,2,2023,enero
ZZZ30419MANOLORED,1,2023,enero
ZZZ30421KANSASGRAY,1,2023,enero
ZZZ30422KANSASBLACK,2,2023,enero
ZZZ30428STETSONBLACK,7,2023,enero
ZZZ30430ROSSIGRAY,5,2023,enero
ZZZ30438TANYORED,1,2023,enero
ZZZ30448POLIGRAY,1,2023,enero
ZZZ30479AYNARABLACK,2,2023,enero
ZZZ30480AYNARARED,2,2023,enero
ZZZ30481AYNARAWHITE,4,2023,enero
ZZZ30482GERONIMARED,4,2023,enero
ZZZ30483KLEINBLACK,27,2023,enero
ZZZ30484KLEINKHAKI,6,2023,enero
ZZZ30494NINOBLACK,2,2023,enero
ZZZ30496NINOYELLOW,1,2023,enero
ZZZ30497CAJUBLACK,1,2023,enero
ZZZ30500MICHOBLACK,12,2023,enero
ZZZ30505FACUKIDBLACK,1,2023,enero
ZZZ30508GABYRED,1,2023,enero
ZZZ30514JULIANAVY,1,2023,enero
ZZZ30517SUMIREBLACK,1,2023,enero
ZZZ30519ASAGOBLACK,1,2023,enero
ZZZ30524MOMGRAY,3,2023,enero
ZZZ30528KLEINAPRICOT,8,2023,enero
ZZZ30529MICHOGRAY,5,2023,enero
ZZZ30530MICHOBROWN,7,2023,enero
ZZZ30537RAVENWHITEBEIGE,1,2023,enero
ZZZ30539TORMENTAWHITE,1,2023,enero
ZZZ30540TORMENTABEIGE,1,2023,enero
ZZZ30552ATILAWHITEBLACK,2,2023,enero
ZZZ30565LUEBLUE,29,2023,enero
ZZZ30566LUEGREY,16,2023,enero
ZZZ30567LUEBLACK,17,2023,enero
ZZZ30577LUCIABLUE,3,2023,enero
ZZZ30593DANIKIDNAVY,21,2023,enero
ZZZ30594DANIKIDBLACK,5,2023,enero
ZZZ30597GABYBABYWHITERED,1,2023,enero
ZZZ30599RAGNARRED,5,2023,enero
ZZZ30604PIERREDARKGRAY,2,2023,enero
ZZZ30605PIERREGRAY,1,2023,enero
ZZZ30606JANORED,3,2023,enero
ZZZ30609BOUNCEGREY,8,2023,enero
ZZZ30610BOUNCERED,8,2023,enero
ZZZ30620SIMIOBEANSAND,7,2023,enero
ZZZ30621SIMIOBLACK,6,2023,enero
ZZZ30622SIMIONAVYBLUE,9,2023,enero
ZZZ30630DOLPHINSKINRED,2,2023,enero
ZZZ30689MANUELRED,2,2023,enero
ZZZ30690MANUELNAVY,8,2023,enero
ZZZ30692MIGUELRED,1,2023,enero
ZZZ30697BERTANAVY,1,2023,enero
ZZZ30699DOTSBLACK,6,2023,enero
ZZZ30700ALMOSTBLACK,17,2023,enero
ZZZ30702ALMOSTPINK,11,2023,enero
ZZZ30710JOACOKHAKI,6,2023,enero
ZZZ30711JOACOWINE,2,2023,enero
ZZZ30712MARCOSKHAKI,3,2023,enero
ZZZ30715EDELINEBLACK,19,2023,enero
ZZZ30716EDELINEBRWON,2,2023,enero
ZZZ30719SOLANGEBROWN,2,2023,enero
ZZZ30720SOLANGEBLACK,2,2023,enero
ZZZ30721ROSARIOCAMEL,1,2023,enero
ZZZ30722ROSARIOBLACK,7,2023,enero
ZZZ30723ROSARIOBROWN,30,2023,enero
ZZZ30724CLAIREBROWN,5,2023,enero
ZZZ30725CLAIRECAMEL,5,2023,enero
ZZZ30726CLAIREBLACK,3,2023,enero
ZZZ30727OLIVABROWN,5,2023,enero
ZZZ30728OLIVACAMEL,3,2023,enero
ZZZ30729OLIVAREDWINE,1,2023,enero
ZZZ30730OLIVABLACK,8,2023,enero
ZZZ30735MIREYARED,5,2023,enero
ZZZ30736MIREYABLACK,2,2023,enero
ZZZ30737MIREYABROWN,3,2023,enero
ZZZ30738MIREYACAMEL,5,2023,enero
ZZZ30739NINACAMEL,1,2023,enero
ZZZ30741NINABLACK,6,2023,enero
ZZZ30745LUCERABEIGE,2,2023,enero
ZZZ30746LUCERACAMEL,5,2023,enero
ZZZ30747LUCERABROWN,5,2023,enero
ZZZ30748LUCERABLACK,7,2023,enero
ZZZ30749TULLYBLACK,1,2023,enero
ZZZ30751FLASHBLACK,21,2023,enero
ZZZ30752SAMEBLACK,3,2023,enero
ZZZ30753MILLARAYBLACK,2,2023,enero
ZZZ30754NAPOLESBLACK,2,2023,enero
ZZZ30757IGNACIOBLACK,3,2023,enero
ZZZ30762MANEWHITE,7,2023,enero
ZZZ30764MEDBLACKWHITE,3,2023,enero
ZZZ30773MEDMENBLACKWHITE,7,2023,enero
ZZZ30787TAKUCOFFEE,2,2023,enero
ZZZ30802MILFORDBLACK,3,2023,enero
ZZZ30803MILFORDKHAKI,1,2023,enero
ZZZ30805DOGONGREY,15,2023,enero
ZZZ30806DOGONKHAKI,12,2023,enero
ZZZ30807DOGONBROWN,11,2023,enero
ZZZ30811WILDLEOPARD,1,2023,enero
ZZZ30817NUNYSHAKECAMEL,2,2023,enero
ZZZ30818NUNYSHAKEBLACK,20,2023,enero
ZZZ30821NEWCOLOMBALLBLACK,1,2023,enero
ZZZ30822NEWCOLOMBAWHITE,13,2023,enero
ZZZ30839KUNIKBLACK,6,2023,enero
ZZZ30840WENDYBLACK,2,2023,enero
ZZZ30841CHAIBLACK,7,2023,enero
ZZZ30844MARCOSBROWN,1,2023,enero
ZZZ30846MICKELBLUE,1,2023,enero
ZZZ30850KITHGREY,2,2023,enero
ZZZ30851TIBETBLACK,5,2023,enero
ZZZ30853IGLUBLACK,3,2023,enero
ZZZ30856COCOBLACK,2,2023,enero
ZZZ30859CHELSEAMENCOFFE,5,2023,enero
ZZZ30860CHELSEAMENBROWN,1,2023,enero
ZZZ30861QUEUPUBLACK,2,2023,enero
ZZZ30863KALIBLACK,2,2023,enero
ZZZ30864KALIKHAKI,2,2023,enero
ZZZ30865KALIREDBROWN,3,2023,enero
ZZZ30866HIZERLOCKREDBROWN,2,2023,enero
ZZZ30877ISABLACK,10,2023,enero
ZZZ30886BIGWARMBLACK,1,2023,enero
ZZZ30890PANELLBLACK,1,2023,enero
ZZZ30891CALLEPAGREY,1,2023,enero
ZZZ30892MUSCABLACK,1,2023,enero
ZZZ30894ROMINITABEIGE,1,2023,enero
ZZZ30906LYRACAMEL,2,2023,enero
ZZZ30907LYRABEIGE,1,2023,enero
ZZZ30909ARABROWN,1,2023,enero
ZZZ30910ARABLACK,3,2023,enero
ZZZ30912NIMBOPINK,4,2023,enero
ZZZ30913NIMBOCOFFEE,6,2023,enero
ZZZ30914NIMBOBEIGE,2,2023,enero
ZZZ30915NIMBOBLACK,3,2023,enero
ZZZ30916NIMBOBROWN,3,2023,enero
ZZZ30922CORVIBLACK,13,2023,enero
ZZZ30924RAINYBLACK,1,2023,enero
ZZZ30925RAINYWINE,1,2023,enero
ZZZ30926REGENNAVY,15,2023,enero
ZZZ30927REGENWINERED,11,2023,enero
ZZZ30929TAIPEYELLOW,1,2023,enero
ZZZ30934MONTUNOBROWN,14,2023,enero
ZZZ30936MONTUNOBLACK,39,2023,enero
ZZZ30938TROMBABROWN,1,2023,enero
ZZZ30939MOZONBLACK,2,2023,enero
ZZZ30940MOZONBROWN,6,2023,enero
ZZZ30941ZAMANZOBLACK,8,2023,enero
ZZZ30942ZAMANZONAVY,7,2023,enero
ZZZ30943REGENBLACK,30,2023,enero
