SKU BASE,Suma de Cantidad,Año,Mes
ZZZ1096KEPLERBLACK,1,2022,enero
ZZZ1098ORIONWHITE,2,2022,enero
ZZZ1099ORIONRED,8,2022,enero
ZZZ30055CHELSEABLACK,1,2022,enero
ZZZ30120SUSYCOLOR,4,2022,enero
ZZZ30196ROXYBLACK,2,2022,enero
ZZZ30200TATINBLACK,2,2022,enero
ZZZ30201ZAMBLACK,1,2022,enero
ZZZ30214NIKSGREY,4,2022,enero
ZZZ30217MURANOBLACK,11,2022,enero
ZZZ30218SENZILLBLACK,5,2022,enero
ZZZ30219ARABICBLACK,4,2022,enero
ZZZ30236LORETOBEIGE,1,2022,enero
ZZZ30237SONIABLACK,2,2022,enero
ZZZ30238ANFORABLACK,5,2022,enero
ZZZ30266TATANBLACK,3,2022,enero
ZZZ30268TATANGREYBLACK,2,2022,enero
ZZZ30276GUERNICABLACKRED,1,2022,enero
ZZZ30283ROKEBLACK,15,2022,enero
ZZZ30284ROKERED,5,2022,enero
ZZZ30285HIGHROKEBLACK,38,2022,enero
ZZZ30286HIGHROKERED,9,2022,enero
ZZZ30313FRAGATABLACK,4,2022,enero
ZZZ30314FRAGATABROWN,8,2022,enero
ZZZ30317RAZORED,1,2022,enero
ZZZ30318RAZOBEIGE,1,2022,enero
ZZZ30319GURAMIBLACK,6,2022,enero
ZZZ30320GURAMIGREY,6,2022,enero
ZZZ30321GURAMIWHITE,4,2022,enero
ZZZ30322ARLEQUINBLACK,2,2022,enero
ZZZ30325CARDENALBLACK,6,2022,enero
ZZZ30326CARDENALRED,1,2022,enero
ZZZ3032LEYTONRED,1,2022,enero
ZZZ30338COLOMBAWHITE,87,2022,enero
ZZZ30339COLOMBABLACK,8,2022,enero
ZZZ30363GERONIMOGREY,1,2022,enero
ZZZ30379GALEONBLACK,2,2022,enero
ZZZ30386JACNAVY,1,2022,enero
ZZZ30388JACBLACK,2,2022,enero
ZZZ30392GERONIMABROWN,3,2022,enero
ZZZ30393GERONIMABLACK,2,2022,enero
ZZZ30394GERONIMACAMEL,1,2022,enero
ZZZ30396HYPEBLUE,1,2022,enero
ZZZ30397HYPEBLACK,2,2022,enero
ZZZ30398HYPEKHAKI,3,2022,enero
ZZZ30400WESTBLACK,2,2022,enero
ZZZ30409LIPAREDWINE,1,2022,enero
